school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor
480041930,거제제일고등학교,경남,거제시,경남,일반고,53285,경상남도 거제시 거제면 읍내로13길 22-5(거제면. 거제제일고등학교),798,63,0,
480041946,거제상문고등학교,경남,거제시,경남,일반고,53297,경상남도 거제시 수양로 29거제상문고등학교(문동동),1129,85,1,1129.0
480041924,해성고등학교,경남,거제시,경남,일반고,53317,경상남도 거제시 두모길 4(장승포동. 해성고등학교),773,59,1,773.0
480041940,연초고등학교,경남,거제시,경남,일반고,53209,경상남도 거제시 연초면 연사1길 40(연초면. 연초고등학교),1071,79,0,
480041105,거제중앙고등학교,경남,거제시,경남,일반고,53248,경상남도 거제시 중곡로2길 61(고현동. 거제중앙고등학교),1106,80,0,
480041935,거제옥포고등학교,경남,거제시,경남,일반고,53211,경상남도 거제시 연초면 국산로 27(연초면.거제옥포고등학교),1061,83,1,1061.0
480041606,거제고등학교,경남,거제시,경남,일반고,53310,경상남도 거제시 아주로3길 61. 거제고등학교 (아주동),783,54,0,
480041145,아림고등학교,경남,거창군,경남,일반고,50147,경상남도 거창군 거창읍 정장길 19. 아림고등학교 (거창읍),203,30,1,203.0
480041618,거창대성고등학교,경남,거창군,경남,일반고,50130,경상남도 거창군 거창읍 거열로 81(거창읍. 거창대성고등학교),487,46,1,487.0
480041615,거창중앙고등학교,경남,거창군,경남,일반고,50130,경상남도 거창군 거창읍 성산길 36거창중앙고등학교(거창읍),451,43,1,451.0
480041608,대성일고등학교,경남,거창군,경남,일반고,50130,경상남도 거창군 거창읍 거열로7길 57(거창읍),319,36,1,319.0
480041612,거창고등학교,경남,거창군,경남,일반고,50128,경상남도 거창군 거창읍 죽전4길 36. 거창고등학교 (거창읍),277,28,0,
480041110,거창여자고등학교,경남,거창군,경남,일반고,50128,경상남도 거창군 거창읍 죽전1길 72(거창읍.거창여자고등학교),297,36,1,297.0
480041150,고성중앙고등학교,경남,고성군,경남,일반고,52935,경상남도 고성군 고성읍 남포로 45고성중앙고등학교,384,47,0,
480041900,철성고등학교,경남,고성군,경남,일반고,52931,경상남도 고성군 고성읍 대가로 12. 철성고등학교 (고성읍),276,28,0,
480041633,고성고등학교,경남,고성군,경남,일반고,52914,경상남도 고성군 회화면 배둔서길 42-5(회화면),341,40,1,341.0
480041958,김해수남고등학교,경남,김해시,경남,일반고,51017,경상남도 김해시 율하로 381(율하동. 김해수남고등학교),1070,83,1,1070.0
480041645,김해중앙여자고등학교,경남,김해시,경남,일반고,50922,경상남도 김해시 분성로376번길 21-22. 김해중앙여자고등학교 (동상동),309,28,0,
480041934,김해영운고등학교,경남,김해시,경남,일반고,50811,경상남도 김해시 인제로284번길 33. 김해영운고등학교 (삼방동),601,52,0,
480041175,김해가야고등학교,경남,김해시,경남,일반고,50953,경상남도 김해시 경원로 98(내동. 김해가야고등학교),679,58,0,
480041180,김해고등학교,경남,김해시,경남,일반고,50934,경상남도 김해시 활천로24번길 29(삼정동. 김해고등학교),587,53,0,
480041417,장유고등학교,경남,김해시,경남,일반고,50980,경상남도 김해시 월산로 77(부곡동.장유고등학교),1135,87,0,
480041194,구산고등학교,경남,김해시,경남,일반고,50832,경상남도 김해시 가야로 311(구산동. 구산고등학교),635,56,1,635.0
480041377,김해임호고등학교,경남,김해시,경남,일반고,50886,경상남도 김해시 분성로3번길 77. 김해임호고등학교 (외동),416,40,0,
480041188,김해삼문고등학교,경남,김해시,경남,일반고,50986,경상남도 김해시 번화1로 127(삼문동. 김해삼문고등학교),1067,83,2,533.5
480041447,진영고등학교,경남,김해시,경남,일반고,50865,경상남도 김해시 진영읍 여래로20번길 35(진영읍. 진영고등학교),863,73,1,863.0
480041348,김해율하고등학교,경남,김해시,경남,일반고,51014,경상남도 김해시 율하1로 21(율하동),1064,77,0,
480041346,김해삼방고등학교,경남,김해시,경남,일반고,50811,경상남도 김해시 신어산길 17.김해삼방고등학교(삼방동),599,55,1,599.0
480041184,김해분성여자고등학교,경남,김해시,경남,일반고,50899,경상남도 김해시 삼계로 171(삼계동),545,56,0,
480041185,김해분성고등학교,경남,김해시,경남,일반고,50899,경상남도 김해시 가야로147번길 29(삼계동.김해분성고등학교),634,54,0,
480041183,김해대청고등학교,경남,김해시,경남,일반고,51003,경상남도 김해시 번화1로 7(대청동. 대청고등학교),1127,93,0,
480041177,김해경원고등학교,경남,김해시,경남,일반고,50957,경상남도 김해시 우암로 18(외동. 김해경원고등학교),728,62,1,728.0
480041347,김해제일고등학교,경남,김해시,경남,일반고,50886,경상남도 김해시 분성로3번길 105(외동. 김해제일고등학교),607,53,0,
480041215,남해제일고등학교,경남,남해군,경남,일반고,52413,경상남도 남해군 남해읍 남해대로 2800-11(남해읍. 남해제일고등학교),344,41,0,
480041660,남해해성고등학교,경남,남해군,경남,일반고,52434,경상남도 남해군 남면 남면로1835번길 8-4(남면. 해성고등학교.해성중학교),261,27,0,
480041654,남해고등학교,경남,남해군,경남,일반고,52431,경상남도 남해군 이동면 무림로 46-2(이동면. 남해고등학교),278,32,1,278.0
480041868,창선고등학교,경남,남해군,경남,일반고,52453,경상남도 남해군 창선면 창선로 97-12(창선면. 창선고등학교),168,22,0,
