school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor,wee_class_raw,wee_class,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
480041930,거제제일고등학교,경남,거제시,경남,일반고,53285,경상남도 거제시 거제면 읍내로13길 22-5(거제면. 거제제일고등학교),798,63,0,,Y,1,588.0,44.0,632.0,3,0.7919799498746867,0.6892039258451472,0.24391777923897193,0.4665608525420596,2
480041946,거제상문고등학교,경남,거제시,경남,일반고,53297,경상남도 거제시 수양로 29거제상문고등학교(문동동),1129,85,1,1129.0,Y,1,486.6666666666667,1.3333333333333333,488.0,3,0.4322409211691763,0.5321701199563795,0.13312362971370068,0.3326468748350401,2
480041924,해성고등학교,경남,거제시,경남,일반고,53317,경상남도 거제시 두모길 4(장승포동. 해성고등학교),773,59,1,773.0,Y,1,415.0,12.0,427.0,3,0.5523932729624839,0.46564885496183206,0.17012872665384482,0.31788879080783844,2
480041940,연초고등학교,경남,거제시,경남,일반고,53209,경상남도 거제시 연초면 연사1길 40(연초면. 연초고등학교),1071,79,0,,Y,1,403.6666666666667,4.666666666666667,408.3333333333333,3,0.38126361655773416,0.44529262086513993,0.11742339521359872,0.28135800803936933,2
480041105,거제중앙고등학교,경남,거제시,경남,일반고,53248,경상남도 거제시 중곡로2길 61(고현동. 거제중앙고등학교),1106,80,0,,Y,1,575.0,34.0,609.0,3,0.5506329113924051,0.6641221374045801,0.16958656206382058,0.4168543497342004,2
480041935,거제옥포고등학교,경남,거제시,경남,일반고,53211,경상남도 거제시 연초면 국산로 27(연초면.거제옥포고등학교),1061,83,1,1061.0,Y,1,368.6666666666667,45.0,413.6666666666667,3,0.3898837574615143,0.45110868774990914,0.1200782675071584,0.28559347762853377,2
480041606,거제고등학교,경남,거제시,경남,일반고,53310,경상남도 거제시 아주로3길 61. 거제고등학교 (아주동),783,54,0,,Y,1,770.6666666666666,50.666666666666664,821.3333333333334,3,1.0489570029799915,0.8956743002544529,0.32306280319916086,0.6093685517268069,2
480041145,아림고등학교,경남,거창군,경남,일반고,50147,경상남도 거창군 거창읍 정장길 19. 아림고등학교 (거창읍),203,30,1,203.0,Y,1,155.33333333333334,2.0,157.33333333333334,3,0.7750410509031199,0.17157397310069067,0.23870085598156923,0.20513741454112994,2
480041618,거창대성고등학교,경남,거창군,경남,일반고,50130,경상남도 거창군 거창읍 거열로 81(거창읍. 거창대성고등학교),487,46,1,487.0,Y,1,228.0,4.666666666666667,232.66666666666666,3,0.47775496235455167,0.25372591784805526,0.147141262170033,0.20043359000904415,2
480041615,거창중앙고등학교,경남,거창군,경남,일반고,50130,경상남도 거창군 거창읍 성산길 36거창중앙고등학교(거창읍),451,43,1,451.0,Y,1,435.3333333333333,13.666666666666666,449.0,3,0.9955654101995566,0.48964013086150493,0.3066190046622208,0.39812956776186287,2
