wee_center_id,sigungu,wee_center_name,phone,address,source_file,base_year,extraction_check,address_raw,address_clean,wee_center_latitude,wee_center_longitude,wee_center_geocoding_status,wee_center_geocoding_address,wee_center_geocoding_message
WEE_GN_001,창원,창원교육지원청 Wee센터,055-210-0461~5,경남 창원시 의창구 중앙대로228번길 3 후관 1층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 창원시 의창구 중앙대로228번길 3 후관 1층,경남 창원시 성산구 중앙대로228번길 3 후관 1층,35.2328977547522,128.688720874681,success_manual_fix,경남 창원시 성산구 중앙대로228번길 3,수정된 주소로 재시도 성공
WEE_GN_002,마산분원,창원Wee센터 마산분원,055-250-7611~5,경남 창원시 마산회원구 봉덕2길 3 마산교육지원센터 2층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 창원시 마산회원구 봉덕2길 3 마산교육지원센터 2층,경남 창원시 마산회원구 봉덕2길 3 마산교육지원센터 2층,35.2220772656215,128.595278981771,success,경남 창원시 마산회원구 봉덕2길 3,
WEE_GN_003,진주,진주교육지원청 Wee센터,055-740-2091~8,경남 진주시 비봉로23번길 8 진주교육지원청 4층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 진주시 비봉로23번길 8 진주교육지원청 4층,경남 진주시 비봉로23번길 8 진주교육지원청 4층,35.1929271504568,128.080487058347,success,경남 진주시 비봉로23번길 8,
WEE_GN_004,통영,통영교육지원청 Wee센터,055-650-8025~7,경남 통영시 광도면 죽림2로 25-32 통영교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 통영시 광도면 죽림2로 25-32 통영교육지원청,경남 통영시 광도면 죽림2로 25-32 통영교육지원청,34.8819090597094,128.416707413054,success,경남 통영시 광도면 죽림2로 25-32,
WEE_GN_005,사천,사천교육지원청 Wee센터,055-830-1544~9,경남 사천시 삼상로85 사천교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 사천시 삼상로85 사천교육지원청 3층,경남 사천시 삼상로85 사천교육지원청 3층,34.9376517259208,128.084840072545,success,경남 사천시 삼상로 85,
WEE_GN_006,김해,김해교육지원청 Wee센터,055-360-9750~5,경남 김해시 김해대로 1902번길 50 김해교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 김해시 김해대로 1902번길 50 김해교육지원청,경남 김해시 김해대로 1902번길 50 김해교육지원청,35.2534160860827,128.865614321692,success,경남 김해시 김해대로1902번길 50,
WEE_GN_007,밀양,밀양교육지원청 Wee센터,055-350-1490~7,경남 밀양시 상남면 밀양대로1524-1번지 밀양영재교육원 1층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 밀양시 상남면 밀양대로1524-1번지 밀양영재교육원 1층,경남 밀양시 상남면 밀양대로1524-1번지 밀양영재교육원 1층,35.4671364773294,128.761046018281,success,경남 밀양시 상남면 밀양대로 1524-1,
WEE_GN_008,거제,거제교육지원청 Wee센터,055-636-9670~5,경남 거제시 거제중앙로 9길 13-4 거제교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 거제시 거제중앙로 9길 13-4 거제교육지원청,경남 거제시 거제중앙로 9길 13-4 거제교육지원청,34.8800769168975,128.625795564363,success,경남 거제시 거제중앙로9길 13,
WEE_GN_009,양산,양산교육지원청 Wee센터,055-379-3261~9,경남 양산시 물금읍 청룡로53 양산교육지원청 2층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 양산시 물금읍 청룡로53 양산교육지원청 2층,경남 양산시 물금읍 청룡로53 양산교육지원청 2층,35.3279340076819,128.994327682574,success,경남 양산시 물금읍 청룡로 53,
WEE_GN_010,의령,의령교육지원청 Wee센터,055-570-7136~9,경남 의령군 의령읍 충익로 62 의령교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 의령군 의령읍 충익로 62 의령교육지원청,경남 의령군 의령읍 의병로 148,35.3192593551179,128.252532105876,success_manual_fix,경남 의령군 의령읍 의병로 148,수정된 주소로 재시도 성공
WEE_GN_011,함안,함안교육지원청 Wee센터,055-580-8015~8,경남 함안군 가야읍 함안대로 497 함안교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 함안군 가야읍 함안대로 497 함안교육지원청 3층,경남 함안군 가야읍 함안대로 497 함안교육지원청 3층,35.2714808282778,128.408164528413,success,경남 함안군 가야읍 함안대로 497,
