school_code_api,school_name,sido_code,sgg_code,sigungu,pban_year,data_year,teacher_counseling_count,external_counseling_count,total_counseling_count
S160000492,경상고등학교,48,48121,창원시 의창구,2024,2023,39,0,39.0
S160000689,창원고등학교,48,48121,창원시 의창구,2024,2023,0,0,0.0
S160000694,창원대산고등학교,48,48121,창원시 의창구,2024,2023,311,0,311.0
S160000695,창원명지여자고등학교,48,48121,창원시 의창구,2024,2023,301,0,301.0
S160003209,창원봉림고등학교,48,48121,창원시 의창구,2024,2023,247,10,257.0
S160003230,창원명곡고등학교,48,48121,창원시 의창구,2024,2023,305,0,305.0
S160003488,창원성민여자고등학교,48,48121,창원시 의창구,2024,2023,0,15,15.0
S160004047,창원북면고등학교,48,48121,창원시 의창구,2024,2023,0,0,0.0
S160000688,창원경일고등학교,48,48123,창원시 성산구,2024,2023,322,23,345.0
S160000692,창원남고등학교,48,48123,창원시 성산구,2024,2023,900,20,920.0
S160000693,창원남산고등학교,48,48123,창원시 성산구,2024,2023,221,1,222.0
S160000696,창원문성고등학교,48,48123,창원시 성산구,2024,2023,168,0,168.0
S160000697,창원사파고등학교,48,48123,창원시 성산구,2024,2023,271,8,279.0
S160000698,창원여자고등학교,48,48123,창원시 성산구,2024,2023,388,4,392.0
S160000699,창원용호고등학교,48,48123,창원시 성산구,2024,2023,432,6,438.0
S160000701,창원중앙고등학교,48,48123,창원시 성산구,2024,2023,398,0,398.0
S160000702,창원중앙여자고등학교,48,48123,창원시 성산구,2024,2023,236,0,236.0
S160003210,창원신월고등학교,48,48123,창원시 성산구,2024,2023,558,0,558.0
S160003228,창원경일여자고등학교,48,48123,창원시 성산구,2024,2023,258,9,267.0
S160003277,창원대암고등학교,48,48123,창원시 성산구,2024,2023,253,20,273.0
S160003278,창원토월고등학교,48,48123,창원시 성산구,2024,2023,175,1,176.0
S160000544,마산가포고등학교,48,48125,창원시 마산합포구,2024,2023,293,0,293.0
S160000546,마산고등학교,48,48125,창원시 마산합포구,2024,2023,533,0,533.0
S160000551,마산삼진고등학교,48,48125,창원시 마산합포구,2024,2023,563,10,573.0
S160000553,마산여자고등학교,48,48125,창원시 마산합포구,2024,2023,281,1,282.0
S160000556,마산용마고등학교,48,48125,창원시 마산합포구,2024,2023,413,32,445.0
S160000560,마산제일여자고등학교,48,48125,창원시 마산합포구,2024,2023,381,3,384.0
S160000561,마산중앙고등학교,48,48125,창원시 마산합포구,2024,2023,182,0,182.0
S160000606,성지여자고등학교,48,48125,창원시 마산합포구,2024,2023,276,0,276.0
S160000740,합포고등학교,48,48125,창원시 마산합포구,2024,2023,512,10,522.0
S160000549,마산구암고등학교,48,48127,창원시 마산회원구,2024,2023,467,0,467.0
S160000550,마산무학여자고등학교,48,48127,창원시 마산회원구,2024,2023,435,12,447.0
S160000559,마산제일고등학교,48,48127,창원시 마산회원구,2024,2023,0,0,0.0
S160000687,창신고등학교,48,48127,창원시 마산회원구,2024,2023,0,16,16.0
S160003242,마산내서여자고등학교,48,48127,창원시 마산회원구,2024,2023,251,0,251.0
S160000669,진해고등학교,48,48129,창원시 진해구,2024,2023,408,0,408.0
S160000670,진해세화여자고등학교,48,48129,창원시 진해구,2024,2023,279,7,286.0
S160000671,진해여자고등학교,48,48129,창원시 진해구,2024,2023,311,16,327.0
S160000673,웅천고등학교,48,48129,창원시 진해구,2024,2023,262,3,265.0
S160000675,진해중앙고등학교,48,48129,창원시 진해구,2024,2023,355,16,371.0
S160003331,진해용원고등학교,48,48129,창원시 진해구,2024,2023,304,14,318.0
S000003495,경상국립대학교사범대학부설고등학교,48,48170,진주시,2024,2023,202,3,205.0
S160000493,경해여자고등학교,48,48170,진주시,2024,2023,223,0,223.0
S160000531,대곡고등학교,48,48170,진주시,2024,2023,82,0,82.0
S160000536,대아고등학교,48,48170,진주시,2024,2023,211,0,211.0
S160000563,명신고등학교,48,48170,진주시,2024,2023,296,11,307.0
S160000596,삼현여자고등학교,48,48170,진주시,2024,2023,180,1,181.0
S160000601,진주중앙고등학교,48,48170,진주시,2024,2023,326,6,332.0
S160000653,진서고등학교,48,48170,진주시,2024,2023,3,0,3.0
S160000654,진양고등학교,48,48170,진주시,2024,2023,276,0,276.0
S160000660,진주고등학교,48,48170,진주시,2024,2023,557,0,557.0
S160000663,진주동명고등학교,48,48170,진주시,2024,2023,0,0,0.0
S160000665,진주여자고등학교,48,48170,진주시,2024,2023,375,0,375.0
S160000667,진주외국어고등학교,48,48170,진주시,2024,2023,594,53,647.0
S160000668,진주제일여자고등학교,48,48170,진주시,2024,2023,443,14,457.0
S160000706,충렬여자고등학교,48,48220,통영시,2024,2023,194,7,201.0
S160000708,충무고등학교,48,48220,통영시,2024,2023,869,0,869.0
S160000714,통영고등학교,48,48220,통영시,2024,2023,229,1,230.0
S160000716,통영여자고등학교,48,48220,통영시,2024,2023,777,22,799.0
S160000717,동원고등학교,48,48220,통영시,2024,2023,232,38,270.0
S160000502,곤양고등학교,48,48240,사천시,2024,2023,0,10,10.0
S160000577,사천고등학교,48,48240,사천시,2024,2023,231,4,235.0
S160000591,삼천포고등학교,48,48240,사천시,2024,2023,46,0,46.0
S160000593,삼천포여자고등학교,48,48240,사천시,2024,2023,291,0,291.0
S160000595,삼천포중앙고등학교,48,48240,사천시,2024,2023,335,4,339.0
S160000639,용남고등학교,48,48240,사천시,2024,2023,394,0,394.0
S160000508,김해가야고등학교,48,48250,김해시,2024,2023,622,22,644.0
S160000510,김해경원고등학교,48,48250,김해시,2024,2023,441,3,444.0
S160000511,김해고등학교,48,48250,김해시,2024,2023,168,10,178.0
S160000513,김해여자고등학교,48,48250,김해시,2024,2023,437,20,457.0
S160000515,김해중앙여자고등학교,48,48250,김해시,2024,2023,257,33,290.0
S160000648,장유고등학교,48,48250,김해시,2024,2023,428,180,608.0
S160000655,진영고등학교,48,48250,김해시,2024,2023,396,7,403.0
S160003211,김해분성고등학교,48,48250,김해시,2024,2023,402,3,405.0
S160003212,김해대청고등학교,48,48250,김해시,2024,2023,679,13,692.0
S160003243,김해분성여자고등학교,48,48250,김해시,2024,2023,350,3,353.0
S160003244,김해삼문고등학교,48,48250,김해시,2024,2023,152,2,154.0
S160003279,김해영운고등학교,48,48250,김해시,2024,2023,62,0,62.0
S160003328,김해삼방고등학교,48,48250,김해시,2024,2023,486,8,494.0
S160003429,김해제일고등학교,48,48250,김해시,2024,2023,189,84,273.0
S160003454,김해율하고등학교,48,48250,김해시,2024,2023,416,45,461.0
S160003463,김해임호고등학교,48,48250,김해시,2024,2023,369,4,373.0
S160003464,구산고등학교,48,48250,김해시,2024,2023,266,12,278.0
S160003884,김해수남고등학교,48,48250,김해시,2024,2023,414,14,428.0
S160000565,밀성고등학교,48,48270,밀양시,2024,2023,0,24,24.0
S160000568,밀양고등학교,48,48270,밀양시,2024,2023,576,0,576.0
S160000570,밀양동명고등학교,48,48270,밀양시,2024,2023,414,3,417.0
S160000571,밀양여자고등학교,48,48270,밀양시,2024,2023,354,5,359.0
S160000588,삼랑진고등학교,48,48270,밀양시,2024,2023,324,2,326.0
S160000608,세종고등학교,48,48270,밀양시,2024,2023,342,0,342.0
S160000464,거제고등학교,48,48310,거제시,2024,2023,963,94,1057.0
S160000468,거제제일고등학교,48,48310,거제시,2024,2023,678,33,711.0
S160000470,거제중앙고등학교,48,48310,거제시,2024,2023,517,3,520.0
S160000741,해성고등학교,48,48310,거제시,2024,2023,478,14,492.0
S160003299,거제옥포고등학교,48,48310,거제시,2024,2023,360,75,435.0
S160003452,연초고등학교,48,48310,거제시,2024,2023,353,1,354.0
S160003460,거제상문고등학교,48,48310,거제시,2024,2023,385,0,385.0
S160000576,보광고등학교,48,48330,양산시,2024,2023,535,14,549.0
S160000618,양산고등학교,48,48330,양산시,2024,2023,513,0,513.0
S160000619,양산제일고등학교,48,48330,양산시,2024,2023,123,0,123.0
S160000626,양산여자고등학교,48,48330,양산시,2024,2023,271,23,294.0
S160000640,웅상고등학교,48,48330,양산시,2024,2023,405,0,405.0
S160000747,효암고등학교,48,48330,양산시,2024,2023,318,8,326.0
S160003213,양산남부고등학교,48,48330,양산시,2024,2023,313,8,321.0
S160003281,물금고등학교,48,48330,양산시,2024,2023,365,3,368.0
S160003327,서창고등학교,48,48330,양산시,2024,2023,328,1,329.0
S160003455,범어고등학교,48,48330,양산시,2024,2023,271,0,271.0
S160004045,증산고등학교,48,48330,양산시,2024,2023,0,55,55.0
S160000643,의령고등학교,48,48720,의령군,2024,2023,156,0,156.0
S160000644,의령여자고등학교,48,48720,의령군,2024,2023,0,0,0.0
S160000505,군북고등학교,48,48730,함안군,2024,2023,280,4,284.0
S160000562,명덕고등학교,48,48730,함안군,2024,2023,533,3,536.0
S160000710,칠원고등학교,48,48730,함안군,2024,2023,174,7,181.0
S160000724,함안고등학교,48,48730,함안군,2024,2023,113,47,160.0
S160000519,남지고등학교,48,48740,창녕군,2024,2023,0,31,31.0
S160000629,영산고등학교,48,48740,창녕군,2024,2023,186,18,204.0
S160000634,창녕옥야고등학교,48,48740,창녕군,2024,2023,199,15,214.0
S160000677,창녕고등학교,48,48740,창녕군,2024,2023,166,0,166.0
S160000681,창녕대성고등학교,48,48740,창녕군,2024,2023,190,0,190.0
S160000682,창녕여자고등학교,48,48740,창녕군,2024,2023,200,53,253.0
S160000495,고성고등학교,48,48820,고성군,2024,2023,267,1,268.0
S160000500,고성중앙고등학교,48,48820,고성군,2024,2023,279,7,286.0
S160000703,철성고등학교,48,48820,고성군,2024,2023,152,2,154.0
S160000521,남해고등학교,48,48840,남해군,2024,2023,275,36,311.0
S160000526,남해제일고등학교,48,48840,남해군,2024,2023,344,21,365.0
S160000528,남해해성고등학교,48,48840,남해군,2024,2023,160,0,160.0
S160000685,창선고등학교,48,48840,남해군,2024,2023,224,17,241.0
S160000506,금남고등학교,48,48850,하동군,2024,2023,223,15,238.0
S160000636,옥종고등학교,48,48850,하동군,2024,2023,74,4,78.0
S160000650,진교고등학교,48,48850,하동군,2024,2023,0,68,68.0
S160000718,하동고등학교,48,48850,하동군,2024,2023,357,0,357.0
S160000719,하동여자고등학교,48,48850,하동군,2024,2023,72,0,72.0
S160000529,단성고등학교,48,48860,산청군,2024,2023,177,7,184.0
S160000539,덕산고등학교,48,48860,산청군,2024,2023,120,96,216.0
S160000611,신등고등학교,48,48860,산청군,2024,2023,40,5,45.0
S160003972,산청고등학교,48,48860,산청군,2024,2023,94,2,96.0
S160000600,서상고등학교,48,48870,함양군,2024,2023,0,0,0.0
S160000615,안의고등학교,48,48870,함양군,2024,2023,266,27,293.0
S160000731,함양고등학교,48,48870,함양군,2024,2023,187,7,194.0
S160000472,거창고등학교,48,48880,거창군,2024,2023,0,0,0.0
S160000473,거창대성고등학교,48,48880,거창군,2024,2023,218,0,218.0
S160000475,대성일고등학교,48,48880,거창군,2024,2023,753,12,765.0
S160000476,아림고등학교,48,48880,거창군,2024,2023,130,0,130.0
S160000478,거창여자고등학교,48,48880,거창군,2024,2023,101,3,104.0
S160000480,거창중앙고등학교,48,48880,거창군,2024,2023,472,26,498.0
S160000587,삼가고등학교,48,48890,합천군,2024,2023,0,0,0.0
S160000617,야로고등학교,48,48890,합천군,2024,2023,0,80,80.0
S160000736,합천고등학교,48,48890,합천군,2024,2023,262,4,266.0
S160000737,합천여자고등학교,48,48890,합천군,2024,2023,149,8,157.0
S160000492,경상고등학교,48,48121,창원시 의창구,2025,2024,79,20,99.0
S160000689,창원고등학교,48,48121,창원시 의창구,2025,2024,120,0,120.0
S160000694,창원대산고등학교,48,48121,창원시 의창구,2025,2024,211,18,229.0
S160000695,창원명지여자고등학교,48,48121,창원시 의창구,2025,2024,466,0,466.0
S160003209,창원봉림고등학교,48,48121,창원시 의창구,2025,2024,197,3,200.0
S160003230,창원명곡고등학교,48,48121,창원시 의창구,2025,2024,531,0,531.0
S160003488,창원성민여자고등학교,48,48121,창원시 의창구,2025,2024,0,10,10.0
S160004047,창원북면고등학교,48,48121,창원시 의창구,2025,2024,225,0,225.0
S160000688,창원경일고등학교,48,48123,창원시 성산구,2025,2024,338,5,343.0
S160000692,창원남고등학교,48,48123,창원시 성산구,2025,2024,899,0,899.0
S160000693,창원남산고등학교,48,48123,창원시 성산구,2025,2024,218,0,218.0
S160000696,창원문성고등학교,48,48123,창원시 성산구,2025,2024,168,0,168.0
S160000697,창원사파고등학교,48,48123,창원시 성산구,2025,2024,374,8,382.0
S160000698,창원여자고등학교,48,48123,창원시 성산구,2025,2024,421,3,424.0
S160000699,창원용호고등학교,48,48123,창원시 성산구,2025,2024,652,43,695.0
S160000701,창원중앙고등학교,48,48123,창원시 성산구,2025,2024,348,3,351.0
S160000702,창원중앙여자고등학교,48,48123,창원시 성산구,2025,2024,454,0,454.0
S160003210,창원신월고등학교,48,48123,창원시 성산구,2025,2024,520,0,520.0
S160003228,창원경일여자고등학교,48,48123,창원시 성산구,2025,2024,396,7,403.0
S160003277,창원대암고등학교,48,48123,창원시 성산구,2025,2024,225,15,240.0
S160003278,창원토월고등학교,48,48123,창원시 성산구,2025,2024,175,1,176.0
S160000544,마산가포고등학교,48,48125,창원시 마산합포구,2025,2024,290,0,290.0
S160000546,마산고등학교,48,48125,창원시 마산합포구,2025,2024,449,5,454.0
S160000551,마산삼진고등학교,48,48125,창원시 마산합포구,2025,2024,498,2,500.0
S160000553,마산여자고등학교,48,48125,창원시 마산합포구,2025,2024,257,1,258.0
S160000556,마산용마고등학교,48,48125,창원시 마산합포구,2025,2024,394,17,411.0
S160000560,마산제일여자고등학교,48,48125,창원시 마산합포구,2025,2024,223,3,226.0
S160000561,마산중앙고등학교,48,48125,창원시 마산합포구,2025,2024,206,0,206.0
S160000606,성지여자고등학교,48,48125,창원시 마산합포구,2025,2024,466,6,472.0
S160000740,합포고등학교,48,48125,창원시 마산합포구,2025,2024,373,1,374.0
S160000549,마산구암고등학교,48,48127,창원시 마산회원구,2025,2024,490,22,512.0
S160000550,마산무학여자고등학교,48,48127,창원시 마산회원구,2025,2024,437,3,440.0
S160000559,마산제일고등학교,48,48127,창원시 마산회원구,2025,2024,0,0,0.0
S160000687,창신고등학교,48,48127,창원시 마산회원구,2025,2024,59,0,59.0
S160003242,마산내서여자고등학교,48,48127,창원시 마산회원구,2025,2024,383,0,383.0
S160000669,진해고등학교,48,48129,창원시 진해구,2025,2024,328,2,330.0
S160000670,진해세화여자고등학교,48,48129,창원시 진해구,2025,2024,371,13,384.0
S160000671,진해여자고등학교,48,48129,창원시 진해구,2025,2024,217,0,217.0
S160000673,웅천고등학교,48,48129,창원시 진해구,2025,2024,256,7,263.0
S160000675,진해중앙고등학교,48,48129,창원시 진해구,2025,2024,126,7,133.0
S160003331,진해용원고등학교,48,48129,창원시 진해구,2025,2024,316,0,316.0
S000003495,경상국립대학교사범대학부설고등학교,48,48170,진주시,2025,2024,212,2,214.0
S160000493,경해여자고등학교,48,48170,진주시,2025,2024,256,0,256.0
S160000536,대아고등학교,48,48170,진주시,2025,2024,399,0,399.0
S160000563,명신고등학교,48,48170,진주시,2025,2024,267,0,267.0
S160000596,삼현여자고등학교,48,48170,진주시,2025,2024,194,2,196.0
S160000601,진주중앙고등학교,48,48170,진주시,2025,2024,391,10,401.0
S160000653,진서고등학교,48,48170,진주시,2025,2024,0,0,0.0
S160000654,진양고등학교,48,48170,진주시,2025,2024,286,0,286.0
S160000660,진주고등학교,48,48170,진주시,2025,2024,512,0,512.0
S160000663,진주동명고등학교,48,48170,진주시,2025,2024,139,0,139.0
S160000665,진주여자고등학교,48,48170,진주시,2025,2024,371,3,374.0
S160000667,진주외국어고등학교,48,48170,진주시,2025,2024,469,18,487.0
S160000668,진주제일여자고등학교,48,48170,진주시,2025,2024,447,12,459.0
S160000706,충렬여자고등학교,48,48220,통영시,2025,2024,130,5,135.0
