school_code_api,school_name,sido_code,sgg_code,pban_year,wee_class_raw,wee_class
S160000492,경상고등학교,48,48121,2025,Y,1
S160000689,창원고등학교,48,48121,2025,Y,1
S160000690,창원공업고등학교,48,48121,2025,Y,1
S160000694,창원대산고등학교,48,48121,2025,Y,1
S160000695,창원명지여자고등학교,48,48121,2025,Y,1
S160000700,경남관광고등학교,48,48121,2025,Y,1
S160003209,창원봉림고등학교,48,48121,2025,Y,1
S160003230,창원명곡고등학교,48,48121,2025,Y,1
S160003433,창원과학고등학교,48,48121,2025,Y,1
S160003488,창원성민여자고등학교,48,48121,2025,N,0
S160004047,창원북면고등학교,48,48121,2025,Y,1
S160000688,창원경일고등학교,48,48123,2025,Y,1
S160000691,창원기계공업고등학교,48,48123,2025,Y,1
S160000692,창원남고등학교,48,48123,2025,Y,1
S160000693,창원남산고등학교,48,48123,2025,Y,1
S160000696,창원문성고등학교,48,48123,2025,Y,1
S160000697,창원사파고등학교,48,48123,2025,Y,1
S160000698,창원여자고등학교,48,48123,2025,Y,1
S160000699,창원용호고등학교,48,48123,2025,Y,1
S160000701,창원중앙고등학교,48,48123,2025,Y,1
S160000702,창원중앙여자고등학교,48,48123,2025,Y,1
S160003210,창원신월고등학교,48,48123,2025,Y,1
S160003228,창원경일여자고등학교,48,48123,2025,Y,1
S160003277,창원대암고등학교,48,48123,2025,Y,1
S160003278,창원토월고등학교,48,48123,2025,Y,1
S160000544,마산가포고등학교,48,48125,2025,Y,1
S160000546,마산고등학교,48,48125,2025,Y,1
S160000551,마산삼진고등학교,48,48125,2025,Y,1
S160000553,마산여자고등학교,48,48125,2025,Y,1
S160000556,마산용마고등학교,48,48125,2025,Y,1
S160000560,마산제일여자고등학교,48,48125,2025,Y,1
S160000561,마산중앙고등학교,48,48125,2025,Y,1
S160000606,성지여자고등학교,48,48125,2025,Y,1
S160000740,합포고등학교,48,48125,2025,Y,1
S160003447,태봉고등학교,48,48125,2025,Y,1
S160000548,마산공업고등학교,48,48127,2025,N,0
S160000549,마산구암고등학교,48,48127,2025,Y,1
S160000550,마산무학여자고등학교,48,48127,2025,Y,1
S160000559,마산제일고등학교,48,48127,2025,N,0
S160000687,창신고등학교,48,48127,2025,Y,1
S160000723,한일전산여자고등학교,48,48127,2025,Y,1
S160003242,마산내서여자고등학교,48,48127,2025,Y,1
S160000669,진해고등학교,48,48129,2025,Y,1
S160000670,진해세화여자고등학교,48,48129,2025,Y,1
S160000671,진해여자고등학교,48,48129,2025,Y,1
