항목,값
전체 학교 수,146.0
CDI 평균,0.3816
CDI 최솟값,0.1147
CDI 최댓값,0.6411
CDI 중앙값,0.406
CDI 결측 학교 수,0.0
demand_size_score 평균,0.7763
demand_size_score 결측 학교 수,0.0
counseling_use_score 평균,0.281
counseling_use_score 결측 학교 수,0.0
school_violence_risk_score 평균,0.0877
school_violence_risk_score 결측 학교 수,0.0
cdi_level=수요 낮음 학교 수,34.0
cdi_level=수요 낮음 비율(%),23.3
cdi_level=수요 보통 학교 수,111.0
cdi_level=수요 보통 비율(%),76.0
cdi_level=수요 높음 학교 수,1.0
cdi_level=수요 높음 비율(%),0.7
cdi_level=수요 매우 높음 학교 수,0.0
cdi_level=수요 매우 높음 비율(%),0.0
cdi_level=확인 필요 학교 수,0.0
cdi_level=확인 필요 비율(%),0.0
cdi_quantile_group=수요 하위 학교 수,29.0
cdi_quantile_group=수요 하위 비율(%),19.9
cdi_quantile_group=수요 중위 학교 수,88.0
cdi_quantile_group=수요 중위 비율(%),60.3
cdi_quantile_group=수요 상위 학교 수,29.0
cdi_quantile_group=수요 상위 비율(%),19.9
cdi_quantile_group=확인 필요 학교 수,0.0
cdi_quantile_group=확인 필요 비율(%),0.0
cdi_components_available=0 학교 수,0.0
cdi_components_available=1 학교 수,0.0
cdi_components_available=2 학교 수,0.0
cdi_components_available=3 학교 수,146.0
