school_name,sigungu,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
거제제일고등학교,거제시,588.0,44.0,632.0,3,0.7919799498746867,0.6892039258451472,0.24391777923897193,0.4665608525420596,2
거제상문고등학교,거제시,486.6666666666667,1.3333333333333333,488.0,3,0.4322409211691763,0.5321701199563795,0.13312362971370068,0.3326468748350401,2
해성고등학교,거제시,415.0,12.0,427.0,3,0.5523932729624839,0.46564885496183206,0.17012872665384482,0.31788879080783844,2
연초고등학교,거제시,403.6666666666667,4.666666666666667,408.3333333333333,3,0.38126361655773416,0.44529262086513993,0.11742339521359872,0.28135800803936933,2
거제중앙고등학교,거제시,575.0,34.0,609.0,3,0.5506329113924051,0.6641221374045801,0.16958656206382058,0.4168543497342004,2
거제옥포고등학교,거제시,368.6666666666667,45.0,413.6666666666667,3,0.3898837574615143,0.45110868774990914,0.1200782675071584,0.28559347762853377,2
거제고등학교,거제시,770.6666666666666,50.666666666666664,821.3333333333334,3,1.0489570029799915,0.8956743002544529,0.32306280319916086,0.6093685517268069,2
아림고등학교,거창군,155.33333333333334,2.0,157.33333333333334,3,0.7750410509031199,0.17157397310069067,0.23870085598156923,0.20513741454112994,2
거창대성고등학교,거창군,228.0,4.666666666666667,232.66666666666666,3,0.47775496235455167,0.25372591784805526,0.147141262170033,0.20043359000904415,2
거창중앙고등학교,거창군,435.3333333333333,13.666666666666666,449.0,3,0.9955654101995566,0.48964013086150493,0.3066190046622208,0.39812956776186287,2
대성일고등학교,거창군,445.0,23.666666666666668,468.6666666666667,3,1.4691745036572623,0.5110868774990912,0.45248340226706557,0.48178513988307836,2
거창고등학교,거창군,0.0,1.0,1.0,3,0.0036101083032490976,0.0010905125408942203,0.0011118584508105584,0.0011011854958523893,2
거창여자고등학교,거창군,135.33333333333334,3.6666666666666665,139.0,3,0.468013468013468,0.1515812431842966,0.144141030072589,0.1478611366284428,2
고성중앙고등학교,고성군,266.6666666666667,10.0,276.6666666666667,3,0.7204861111111112,0.30170846964740095,0.22189876425855515,0.26180361695297805,2
철성고등학교,고성군,103.33333333333333,1.3333333333333333,104.66666666666667,3,0.37922705314009664,0.11414031261359506,0.11679616465531492,0.11546823863445499,2
고성고등학교,고성군,258.0,4.0,262.0,3,0.7683284457478006,0.2857142857142857,0.23663347568658494,0.26117388070043535,2
김해수남고등학교,김해시,421.3333333333333,8.666666666666666,430.0,3,0.40186915887850466,0.46892039258451473,0.1237695888561174,0.29634499072031606,2
김해중앙여자고등학교,김해시,346.3333333333333,24.666666666666668,371.0,3,1.2006472491909386,0.40458015267175573,0.36978109195614456,0.3871806223139501,2
김해영운고등학교,김해시,217.0,4.666666666666667,221.66666666666666,3,0.3688297282307266,0.24173027989821882,0.1135939467174481,0.17766211330783346,2
김해가야고등학교,김해시,599.0,39.333333333333336,638.3333333333334,3,0.9401080019636722,0.6961105052708106,0.2895389663842488,0.4928247358275297,2
김해고등학교,김해시,176.33333333333334,9.666666666666666,186.0,3,0.31686541737649065,0.20283533260632497,0.09758972930606746,0.15021253095619622,2
장유고등학교,김해시,446.0,90.33333333333333,536.3333333333334,3,0.47254038179148317,0.5848782260996002,0.145535250665818,0.36520673838270906,2
구산고등학교,김해시,241.66666666666666,8.0,249.66666666666666,3,0.3931758530183727,0.272264631043257,0.12109218286877638,0.19667840695601668,2
김해임호고등학교,김해시,327.6666666666667,4.666666666666667,332.3333333333333,3,0.7988782051282051,0.3624136677571792,0.24604233694062588,0.30422800234890257,2
김해삼문고등학교,김해시,418.0,34.666666666666664,452.6666666666667,3,0.42424242424242425,0.49363867684478374,0.13066021431040442,0.31214944557759405,2
진영고등학교,김해시,527.6666666666666,32.0,559.6666666666666,3,0.6485129393588258,0.6103235187204652,0.1997321220078513,0.40502782036415824,2
김해율하고등학교,김해시,371.0,42.0,413.0,3,0.3881578947368421,0.45038167938931295,0.11954672803682208,0.2849642037130675,2
김해삼방고등학교,김해시,325.3333333333333,10.666666666666666,336.0,3,0.5609348914858097,0.366412213740458,0.1727594152484813,0.26958581449446967,2
김해분성여자고등학교,김해시,257.6666666666667,1.0,258.6666666666667,3,0.47461773700305815,0.282079243911305,0.14617504447622703,0.21412714419376602,2
김해분성고등학교,김해시,320.6666666666667,4.333333333333333,325.0,3,0.5126182965299685,0.3544165757906216,0.15787863885523742,0.2561476073229295,2
김해대청고등학교,김해시,629.6666666666666,17.333333333333332,647.0,3,0.5740905057675244,0.7055616139585605,0.17681114436186113,0.44118637916021086,2
김해경원고등학교,김해시,425.6666666666667,4.0,429.6666666666667,3,0.5902014652014652,0.46855688840421666,0.18177307483391134,0.325164981619064,2
김해제일고등학교,김해시,327.6666666666667,44.0,371.6666666666667,3,0.6123009335529929,0.40530716103235187,0.18857937497259475,0.2969432680024733,2
남해제일고등학교,남해군,257.3333333333333,7.0,264.3333333333333,3,0.7684108527131782,0.28825881497637224,0.2366588557785834,0.26245883537747783,2
남해해성고등학교,남해군,199.0,2.0,201.0,3,0.7701149425287356,0.21919302071973829,0.23718368952405924,0.22818835512189878,2
남해고등학교,남해군,452.0,27.666666666666668,479.6666666666667,3,1.7254196642685853,0.5230825154489277,0.5314030144705528,0.5272427649597402,2
창선고등학교,남해군,274.3333333333333,13.333333333333334,287.6666666666667,3,1.7123015873015874,0.3137041075972374,0.527362846279196,0.42053347693821674,2
삼랑진고등학교,밀양시,271.6666666666667,0.6666666666666666,272.3333333333333,3,1.2157738095238095,0.296982915303526,0.3744398424769147,0.33571137889022035,2
밀양여자고등학교,밀양시,277.3333333333333,4.666666666666667,282.0,3,1.0681818181818181,0.3075245365321701,0.32898375388869683,0.3182541452104335,2
밀양동명고등학교,밀양시,331.6666666666667,2.3333333333333335,334.0,3,1.4778761061946903,0.3642311886586696,0.45516336350482856,0.4096972760817491,2
밀성고등학교,밀양시,0.0,23.0,23.0,3,0.053613053613053616,0.025081788440567066,0.016512005105160998,0.020796896772864032,2
밀양고등학교,밀양시,559.6666666666666,11.666666666666666,571.3333333333334,3,1.1828847481021394,0.6230461650308979,0.36431051177290225,0.4936783384019001,2
세종고등학교,밀양시,288.3333333333333,0.0,288.3333333333333,3,0.7032520325203252,0.3144311159578335,0.2165909301678568,0.26551102306284513,2
삼천포중앙고등학교,사천시,377.6666666666667,11.666666666666666,389.3333333333333,3,1.1450980392156862,0.42457288258814974,0.35267278013867137,0.3886228313634106,2
용남고등학교,사천시,356.3333333333333,0.0,356.3333333333333,3,0.7763253449527959,0.3885859687386405,0.2390963990158801,0.3138411838772603,2
곤양고등학교,사천시,0.0,7.0,7.0,3,0.18421052631578946,0.007633587786259542,0.05673404042425455,0.032183814105257044,2
사천고등학교,사천시,236.0,8.0,244.0,3,0.40871021775544386,0.26608505997818976,0.12587653094369183,0.1959807954609408,2
삼천포여자고등학교,사천시,297.6666666666667,0.0,297.6666666666667,3,0.8066847335140018,0.3246092330061796,0.24844662895298153,0.28652793097958057,2
삼천포고등학교,사천시,28.0,0.0,28.0,3,0.06698564593301436,0.030534351145038167,0.02063056015427438,0.025582455649656274,2
신등고등학교,산청군,13.333333333333334,1.6666666666666667,15.0,3,1.25,0.016357688113413305,0.3849809885931559,0.2006693383532846,2
산청고등학교,산청군,106.66666666666667,4.0,110.66666666666667,3,0.3426212590299278,0.12068338785896038,0.10552213681149866,0.11310276233522952,2
단성고등학교,산청군,218.0,3.0,221.0,3,2.3263157894736843,0.2410032715376227,0.7164698819291575,0.4787365767333901,2
덕산고등학교,산청군,44.666666666666664,46.333333333333336,91.0,3,1.9361702127659575,0.09923664122137404,0.5963109780762074,0.3477738096487907,2
