school_code,school_name,sido,sigungu,CSI,CDI,priority_score,priority_level,supply_demand_matrix_3x3,policy_strategy_group,kmeans_cluster,kmeans_cluster_label
480041938,서창고등학교,경남,양산시,0.3666666666666667,0.4545209684150018,0.08785430174833508,최우선 지원,잠재 취약형,최우선 개입형,1,고수요 유지관리 군집
480041933,진해용원고등학교,경남,창원시,0.3666666666666667,0.4450506400201051,0.07838397335343839,최우선 지원,잠재 취약형,최우선 개입형,1,고수요 유지관리 군집
480041788,효암고등학교,경남,양산시,0.3666666666666667,0.4350260988817081,0.06835943221504143,최우선 지원,잠재 취약형,최우선 개입형,1,고수요 유지관리 군집
480041638,진주외국어고등학교,경남,진주시,0.3666666666666667,0.4275264894494527,0.06085982278278601,최우선 지원,잠재 취약형,최우선 개입형,1,고수요 유지관리 군집
480041872,마산삼진고등학교,경남,창원시,0.5,0.5229316775349516,0.02293167753495162,최우선 지원,고수요 보완형,최우선 개입형,1,고수요 유지관리 군집
480041606,거제고등학교,경남,거제시,0.5666666666666667,0.5751846165809645,0.008517949914297884,최우선 지원,고수요 보완형,최우선 개입형,1,고수요 유지관리 군집
480041348,김해율하고등학교,경남,김해시,0.4666666666666666,0.455198823715757,-0.01146784295090963,최우선 지원,잠재 취약형,최우선 개입형,1,고수요 유지관리 군집
480041714,사천고등학교,경남,사천시,0.4666666666666666,0.4215561617630355,-0.04511050490363111,우선 지원,잠재 취약형,우선 보완형,1,고수요 유지관리 군집
480041183,김해대청고등학교,경남,김해시,0.5666666666666667,0.5184527741126427,-0.04821389255402397,우선 지원,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041417,장유고등학교,경남,김해시,0.5666666666666667,0.4936850309061514,-0.07298163576051525,우선 지원,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041415,웅상고등학교,경남,양산시,0.6,0.4906710176239188,-0.1093289823760812,우선 지원,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041175,김해가야고등학교,경남,김해시,0.6666666666666666,0.5472863698226381,-0.1193802968440285,우선 지원,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041460,진해고등학교,경남,창원시,0.5666666666666667,0.4444742948353257,-0.122192371831341,우선 지원,평균 관리형,우선 보완형,1,고수요 유지관리 군집
480041937,창녕옥야고등학교,경남,창녕군,0.4666666666666666,0.3384229899504209,-0.1282436767162457,우선 지원,잠재 취약형,우선 보완형,1,고수요 유지관리 군집
480041520,통영여자고등학교,경남,통영시,0.6666666666666666,0.5379996113598644,-0.1286670553068022,우선 지원,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041430,진양고등학교,경남,진주시,0.5666666666666667,0.4299922725792529,-0.1366743940874138,우선 지원,평균 관리형,우선 보완형,1,고수요 유지관리 군집
480041708,보광고등학교,경남,양산시,0.6,0.462749110224935,-0.137250889775065,우선 지원,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041684,마산제일여자고등학교,경남,창원시,0.5666666666666667,0.4267804431816355,-0.1398862234850312,모니터링,평균 관리형,인력 취약형,1,고수요 유지관리 군집
480041958,김해수남고등학교,경남,김해시,0.6,0.4566827658117095,-0.1433172341882905,모니터링,평균 관리형,접근성 보완형,1,고수요 유지관리 군집
480041798,용남고등학교,경남,사천시,0.4666666666666666,0.3200081800543061,-0.1466584866123605,모니터링,잠재 취약형,인력 취약형,1,고수요 유지관리 군집
480041930,거제제일고등학교,경남,거제시,0.6666666666666666,0.516495452569235,-0.1501712140974316,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041891,창원대산고등학교,경남,창원시,0.4666666666666666,0.3124777722384836,-0.154188894428183,모니터링,잠재 취약형,인력 취약형,1,고수요 유지관리 군집
480041500,충무고등학교,경남,통영시,0.7999999999999999,0.6410513307138559,-0.158948669286144,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041105,거제중앙고등학교,경남,거제시,0.6666666666666666,0.5036207810746681,-0.1630458855919985,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041347,김해제일고등학교,경남,김해시,0.6666666666666666,0.4815972212739846,-0.1850694453926821,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041888,창원남고등학교,경남,창원시,0.6666666666666666,0.4777917526085974,-0.1888749140580692,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041688,밀양동명고등학교,경남,밀양시,0.4666666666666666,0.2657045146747776,-0.200962151991889,모니터링,최소 인프라 보완형,인력 취약형,1,고수요 유지관리 군집
480041868,창선고등학교,경남,남해군,0.4666666666666666,0.2642742111882409,-0.2023924554784257,모니터링,최소 인프라 보완형,인력 취약형,1,고수요 유지관리 군집
480041496,웅천고등학교,경남,창원시,0.6,0.3973463585582963,-0.2026536414417037,모니터링,평균 관리형,접근성 보완형,1,고수요 유지관리 군집
480041720,삼랑진고등학교,경남,밀양시,0.4666666666666666,0.2605137326923958,-0.2061529339742708,모니터링,최소 인프라 보완형,인력 취약형,1,고수요 유지관리 군집
480041253,마산용마고등학교,경남,창원시,0.6666666666666666,0.4597641919017466,-0.20690247476492,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041216,단성고등학교,경남,산청군,0.4666666666666666,0.25957885891113,-0.2070878077555366,모니터링,최소 인프라 보완형,인력 취약형,1,고수요 유지관리 군집
480041858,진주제일여자고등학교,경남,진주시,0.6666666666666666,0.4588198643425367,-0.2078468023241299,모니터링,평균 관리형,인력 취약형,1,고수요 유지관리 군집
480041497,창원명곡고등학교,경남,창원시,0.6666666666666666,0.4557924141317536,-0.210874252534913,모니터링,평균 관리형,인력 취약형,1,고수요 유지관리 군집
480041350,양산고등학교,경남,양산시,0.6999999999999998,0.4885843432863639,-0.2114156567136359,모니터링,고수요 보완형,우선 보완형,1,고수요 유지관리 군집
480041473,창원명지여자고등학교,경남,창원시,0.6666666666666666,0.4521387340390597,-0.2145279326276069,모니터링,평균 관리형,인력 취약형,1,고수요 유지관리 군집
480041940,연초고등학교,경남,거제시,0.6666666666666666,0.4510836006018635,-0.2155830660648032,모니터링,평균 관리형,인력 취약형,1,고수요 유지관리 군집
