분류,구분,학교수
policy_action_type,고수요 학교 모니터링 및 프로그램 강화,60
policy_action_type,현 수준 유지 또는 거점학교 활용,42
policy_action_type,최우선 지원 검토,15
policy_action_type,우선 지원 검토,14
policy_action_type,권역별 순회상담 또는 최소 인프라 보완,12
policy_action_type,수요-공급 불균형 우선 개선,3
priority_level,모니터링,87
priority_level,안정,30
priority_level,최우선 지원,15
priority_level,우선 지원,14
policy_recommendation_keyword,상담인력 배치 검토,75
policy_recommendation_keyword,Wee클래스 검토,16
policy_recommendation_keyword,Wee센터 접근성 보완 검토,31
policy_recommendation_keyword,대규모 인력 보강 검토,76
policy_recommendation_keyword,고이용 상담 확대 검토,30
policy_recommendation_keyword,학교폭력 상담 강화 검토,30
policy_recommendation_keyword,수요>공급 우선 지원,14
policy_recommendation_keyword,현 수준 유지,13
