항목,값
전체 학교 수,146.0
priority_score 산출 학교 수,146.0
priority_score 결측 학교 수,0.0
priority_score 평균,-0.2715
priority_score 최솟값,-0.8097
priority_score 최댓값,0.4111
priority_score 중앙값,-0.2816
CSI 평균,0.6532
CDI 평균,0.3816
P20 기준값,-0.3966
P80 기준값,-0.132
P90 기준값,-0.015

[priority_score 상위 10개교]
순위,school_name,sigungu,CSI,CDI,priority_score,priority_level,priority_level_fixed
1,서상고등학교,함양군,0.03333333333333333,0.4444333333333333,0.41109999999999997,최우선 지원,최우선 지원 검토
2,곤양고등학교,사천시,0.03333333333333333,0.4400345541140422,0.40670122078070886,최우선 지원,최우선 지원 검토
3,덕산고등학교,산청군,0.03333333333333333,0.2270246032162636,0.19369126988293028,최우선 지원,우선 지원 검토
4,칠원고등학교,함안군,0.1333333333333333,0.2948819353625988,0.16154860202926552,최우선 지원,우선 지원 검토
5,옥종고등학교,하동군,0.03333333333333333,0.1872105346280026,0.15387720129466928,최우선 지원,우선 지원 검토
6,마산제일고등학교,창원시,0.2333333333333333,0.377976527092908,0.1446431937595747,최우선 지원,모니터링
7,서창고등학교,양산시,0.3666666666666667,0.4545209684150018,0.08785430174833508,최우선 지원,모니터링
8,진해용원고등학교,창원시,0.3666666666666667,0.4450506400201051,0.07838397335343839,최우선 지원,모니터링
9,남해해성고등학교,남해군,0.2333333333333333,0.3068431269209748,0.07350979358764151,최우선 지원,모니터링
10,진주외국어고등학교,진주시,0.3666666666666667,0.4386264894494527,0.07195982278278601,최우선 지원,모니터링

[priority_score 하위 10개교]
순위,school_name,sigungu,CSI,CDI,priority_score,priority_level,priority_level_fixed
1,아림고등학교,거창군,1.0,0.1902899489911875,-0.8097100510088124,안정,안정
2,의령고등학교,의령군,1.0,0.2156189238857184,-0.7843810761142815,안정,안정
3,창녕여자고등학교,창녕군,1.0,0.2539185164219077,-0.7460814835780922,안정,안정
4,합천여자고등학교,합천군,1.0,0.2638415661587545,-0.7361584338412455,안정,안정
5,산청고등학교,산청군,0.9,0.2599342541117431,-0.6400657458882569,안정,안정
6,삼천포고등학교,사천시,0.9,0.2610413079420499,-0.6389586920579502,안정,안정
7,창녕대성고등학교,창녕군,0.9,0.2674493925566745,-0.6325506074433256,안정,안정
8,거창여자고등학교,거창군,0.9,0.2951424261202421,-0.6048575738797579,안정,안정
9,거창대성고등학교,거창군,0.9,0.297555168300887,-0.602444831699113,안정,안정
10,성지여자고등학교,창원시,0.9,0.3420890136834346,-0.5579109863165654,안정,안정
