sigungu,학교수,CSI_평균,CDI_평균,priority_score_평균,최우선지원_수,우선지원_수,A유형_수
산청군,4,0.3833,0.2339,-0.1494,2,0,0
함양군,3,0.5,0.3462,-0.1538,1,0,1
거제시,7,0.681,0.49,-0.1909,1,0,1
남해군,4,0.5417,0.3447,-0.1969,1,0,0
사천시,6,0.5722,0.3628,-0.2094,1,2,2
양산시,11,0.6636,0.4491,-0.2146,2,2,4
김해시,17,0.6667,0.4512,-0.2155,1,3,4
함안군,4,0.5667,0.3339,-0.2328,1,0,0
진주시,13,0.6667,0.4037,-0.263,1,1,2
밀양시,6,0.5833,0.3142,-0.2692,0,1,0
창원시,40,0.6825,0.4106,-0.2719,3,2,5
하동군,5,0.5267,0.2428,-0.2839,1,0,0
통영시,5,0.7733,0.4777,-0.2956,0,1,0
합천군,4,0.6,0.24,-0.36,0,0,0
고성군,3,0.7111,0.2981,-0.413,0,0,0
창녕군,6,0.7167,0.266,-0.4507,0,1,0
의령군,2,0.6667,0.1804,-0.4863,0,0,0
거창군,6,0.8222,0.3075,-0.5148,0,1,0
