check_type,school_name,sigungu,nearest_wee_center_name,nearest_wee_center_sigungu,wee_center_distance_km,wee_center_access_score,school_geocoding_status,note
거리상위20,보광고등학교,양산시,양산교육지원청 Wee센터,양산,20.0825,0.4,success,
거리상위20,서창고등학교,양산시,양산교육지원청 Wee센터,양산,18.9345,0.4,success,
거리상위20,효암고등학교,양산시,양산교육지원청 Wee센터,양산,18.4896,0.4,success,
거리상위20,곤양고등학교,사천시,하동교육지원청 Wee센터,하동,17.6578,0.4,success,
거리상위20,서상고등학교,함양군,함양교육지원청 Wee센터,함양,17.5475,0.4,success,
거리상위20,진해용원고등학교,창원시,김해교육지원청 Wee센터,김해,17.412,0.4,success,
거리상위20,옥종고등학교,하동군,하동교육지원청 Wee센터,하동,16.8969,0.4,success,
거리상위20,덕산고등학교,산청군,산청교육지원청 Wee센터,산청,16.4546,0.4,success,
거리상위20,진주외국어고등학교,진주시,함안교육지원청 Wee센터,함안,16.1318,0.4,success,
거리상위20,야로고등학교,합천군,합천교육지원청 Wee센터,합천,15.4071,0.4,success,
거리상위20,삼가고등학교,합천군,의령교육지원청 Wee센터,의령,15.1544,0.4,success,
거리상위20,마산삼진고등학교,창원시,창원Wee센터 마산분원,마산분원,15.0405,0.4,success,
거리상위20,웅상고등학교,양산시,양산교육지원청 Wee센터,양산,14.7646,0.7,success,
거리상위20,단성고등학교,산청군,산청교육지원청 Wee센터,산청,14.7071,0.7,success,
거리상위20,웅천고등학교,창원시,창원교육지원청 Wee센터,창원,14.495,0.7,success,
거리상위20,남지고등학교,창녕군,함안교육지원청 Wee센터,함안,14.0458,0.7,success,
거리상위20,진서고등학교,진주시,진주교육지원청 Wee센터,진주,13.9133,0.7,success,
거리상위20,창녕옥야고등학교,창녕군,창녕교육지원청 Wee센터,창녕,13.0081,0.7,success,
거리상위20,신등고등학교,산청군,산청교육지원청 Wee센터,산청,12.55,0.7,success,
거리상위20,진교고등학교,하동군,하동교육지원청 Wee센터,하동,12.1488,0.7,success,
관할불일치,진영고등학교,김해시,창원교육지원청 Wee센터,창원,8.8268,0.7,success,학교: 김해 / 최근접 Wee센터: 창원
관할불일치,창선고등학교,남해군,사천교육지원청 Wee센터,사천,11.1036,0.7,success,학교: 남해 / 최근접 Wee센터: 사천
관할불일치,곤양고등학교,사천시,하동교육지원청 Wee센터,하동,17.6578,0.4,success,학교: 사천 / 최근접 Wee센터: 하동
관할불일치,사천고등학교,사천시,진주교육지원청 Wee센터,진주,11.858,0.7,success,학교: 사천 / 최근접 Wee센터: 진주
관할불일치,진주외국어고등학교,진주시,함안교육지원청 Wee센터,함안,16.1318,0.4,success,학교: 진주 / 최근접 Wee센터: 함안
관할불일치,남지고등학교,창녕군,함안교육지원청 Wee센터,함안,14.0458,0.7,success,학교: 창녕 / 최근접 Wee센터: 함안
관할불일치,마산제일고등학교,창원시,함안교육지원청 Wee센터,함안,8.8985,0.7,success,학교: 창원 / 최근접 Wee센터: 함안
관할불일치,진해용원고등학교,창원시,김해교육지원청 Wee센터,김해,17.412,0.4,success,학교: 창원 / 최근접 Wee센터: 김해
관할불일치,안의고등학교,함양군,거창교육지원청 Wee센터,거창,10.3116,0.7,success,학교: 함양 / 최근접 Wee센터: 거창
관할불일치,삼가고등학교,합천군,의령교육지원청 Wee센터,의령,15.1544,0.4,success,학교: 합천 / 최근접 Wee센터: 의령
